dataset,variant_code,variant_name,use_text,use_kpi_contrastive,use_uncertainty,seed,precision,recall,f1,auroc,ap,best_val_f1,epochs_run,wall_seconds
Production,V1,Residual-only,0,0,0,42,1.0,0.5384615384615384,0.7,0.956043956043956,0.9001452570418087,0.631578947368421,17,165.0
Production,V1,Residual-only,0,0,0,123,1.0,0.7692307692307693,0.8695652173913043,0.9043956043956043,0.878205128205128,0.7619047619047619,19,50.8
Production,V1,Residual-only,0,0,0,456,1.0,0.5384615384615384,0.7,0.8340659340659342,0.8219581026809941,0.631578947368421,18,37.5
Production,V1,Residual-only,0,0,0,789,1.0,0.7692307692307693,0.8695652173913043,0.9934065934065934,0.9757085020242913,0.7,16,34.0
Production,V1,Residual-only,0,0,0,1337,0.9,0.6923076923076923,0.782608695652174,0.9098901098901099,0.8283919858818642,0.7,33,58.9
Production,V2,+ Text fusion (no KPI contrastive),1,0,0,42,1.0,0.6153846153846154,0.7619047619047619,0.9241758241758242,0.8761318809395731,0.7,19,376.7
Production,V2,+ Text fusion (no KPI contrastive),1,0,0,123,1.0,0.6153846153846154,0.7619047619047619,0.7857142857142858,0.7745154227330586,0.631578947368421,17,325.7
Production,V2,+ Text fusion (no KPI contrastive),1,0,0,456,1.0,0.5384615384615384,0.7,0.9087912087912089,0.8906423127287377,0.47058823529411764,17,315.9
Production,V2,+ Text fusion (no KPI contrastive),1,0,0,789,1.0,0.6923076923076923,0.8181818181818182,0.832967032967033,0.8153846153846154,0.631578947368421,24,446.1
Production,V2,+ Text fusion (no KPI contrastive),1,0,0,1337,1.0,0.5384615384615384,0.7,0.8846153846153848,0.8149048800661702,0.5555555555555556,19,443.5
Production,V3,+ KPI contrastive (uniform weights),1,1,0,42,0.8333333333333334,0.7692307692307693,0.8,0.8890109890109891,0.8184003496503496,0.7619047619047619,17,924.6
Production,V3,+ KPI contrastive (uniform weights),1,1,0,123,1.0,0.6923076923076923,0.8181818181818182,0.9901098901098901,0.9537087912087912,0.5555555555555556,19,937.7
Production,V3,+ KPI contrastive (uniform weights),1,1,0,456,1.0,0.5384615384615384,0.7,0.9736263736263737,0.9317024886877827,0.5555555555555556,17,832.8
Production,V3,+ KPI contrastive (uniform weights),1,1,0,789,1.0,0.6153846153846154,0.7619047619047619,0.9252747252747252,0.8724138306028457,0.631578947368421,17,751.0
Production,V3,+ KPI contrastive (uniform weights),1,1,0,1337,1.0,0.46153846153846156,0.631578947368421,0.8868131868131869,0.804991803068726,0.7619047619047619,28,1202.5
Production,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,42,1.0,0.5384615384615384,0.7,0.8703296703296703,0.7833047277266343,0.631578947368421,16,691.0
Production,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,123,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.9186813186813187,0.8688593969202651,0.64,17,727.2
Production,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,456,1.0,0.6153846153846154,0.7619047619047619,0.876923076923077,0.8748481781376516,0.631578947368421,17,972.0
Production,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,789,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.9296703296703297,0.8586060057631963,0.6666666666666666,17,926.4
Production,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,1337,1.0,0.6153846153846154,0.7619047619047619,0.9571428571428573,0.8834767206477732,0.6,20,1136.7
