dataset,variant_code,variant_name,use_text,use_kpi_contrastive,use_uncertainty,seed,precision,recall,f1,auroc,ap,best_val_f1,epochs_run,wall_seconds
SpotLight,V1,Residual-only,0,0,0,42,0.9093851132686084,0.9656357388316151,0.9366666666666666,0.9820148557527663,0.9797590432408859,0.9612141652613828,21,799.2
SpotLight,V1,Residual-only,0,0,0,123,0.921311475409836,0.9656357388316151,0.9429530201342282,0.980030939644076,0.9785352023836014,0.9661016949152542,29,1840.5
SpotLight,V1,Residual-only,0,0,0,456,0.9331103678929766,0.9587628865979382,0.9457627118644067,0.9744806981495258,0.9647816436687082,0.9691780821917808,26,1667.9
SpotLight,V1,Residual-only,0,0,0,789,0.919732441471572,0.9450171821305842,0.9322033898305084,0.9701290726373094,0.9594521826582689,0.9643463497453311,41,2078.1
SpotLight,V1,Residual-only,0,0,0,1337,0.9186440677966101,0.9312714776632303,0.9249146757679181,0.9675369917691098,0.9578903993787296,0.962457337883959,38,1803.8
SpotLight,V2,+ Text fusion (no KPI contrastive),1,0,0,42,0.9215017064846417,0.9278350515463918,0.9246575342465754,0.981625157945702,0.9821486704286422,0.9608177172061328,18,3468.2
SpotLight,V2,+ Text fusion (no KPI contrastive),1,0,0,123,0.9288135593220339,0.9415807560137457,0.9351535836177475,0.9519195569254023,0.9231251056603997,0.9623287671232876,38,5489.7
SpotLight,V2,+ Text fusion (no KPI contrastive),1,0,0,456,0.9457627118644067,0.9587628865979382,0.9522184300341296,0.97954676964136,0.9720802460475559,0.9657534246575342,39,6177.0
SpotLight,V2,+ Text fusion (no KPI contrastive),1,0,0,789,0.9155844155844156,0.9690721649484536,0.9415692821368948,0.9798301862283156,0.9785104040375939,0.9643463497453311,35,4303.5
SpotLight,V2,+ Text fusion (no KPI contrastive),1,0,0,1337,0.9423728813559322,0.9553264604810997,0.9488054607508533,0.9759981577921848,0.9771204504944497,0.9639794168096055,31,3798.0
SpotLight,V3,+ KPI contrastive (uniform weights),1,1,0,42,0.9425675675675675,0.9587628865979382,0.9505962521294719,0.9883208748125317,0.9874073643636949,0.9657534246575342,26,11074.0
SpotLight,V3,+ KPI contrastive (uniform weights),1,1,0,123,0.933993399339934,0.9725085910652921,0.9528619528619529,0.9795349606169035,0.9746156254766496,0.9643463497453311,35,18409.5
SpotLight,V3,+ KPI contrastive (uniform weights),1,1,0,456,0.9417808219178082,0.9450171821305842,0.9433962264150944,0.9904169766535587,0.9893502197423371,0.9601386481802426,19,11515.0
SpotLight,V3,+ KPI contrastive (uniform weights),1,1,0,789,0.930921052631579,0.9725085910652921,0.9512605042016806,0.9787614695150034,0.979591814538334,0.9657534246575342,53,16152.6
SpotLight,V3,+ KPI contrastive (uniform weights),1,1,0,1337,0.9455782312925171,0.9553264604810997,0.9504273504273504,0.9907417248261121,0.9873343025478939,0.9618055555555556,22,2644.6
SpotLight,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,42,0.9362416107382551,0.9587628865979382,0.9473684210526315,0.9817845797758648,0.9813894438335917,0.9625850340136054,34,4633.9
SpotLight,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,123,0.9038461538461539,0.9690721649484536,0.9353233830845771,0.9758859720598483,0.9715099935954752,0.9594594594594594,16,1941.5
SpotLight,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,456,0.9260450160771704,0.9896907216494846,0.9568106312292359,0.9845183689375421,0.9816912654201675,0.9629629629629629,36,4866.1
SpotLight,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,789,0.9225806451612903,0.9828178694158075,0.9517470881863561,0.9842349523505863,0.980584930242145,0.9664429530201343,29,3687.0
SpotLight,V4,"Full KAC (uncertainty-weighted, ours)",1,1,1,1337,0.9427609427609428,0.9621993127147767,0.9523809523809523,0.974941250103329,0.9713139207679984,0.963855421686747,37,4837.8
